"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2024",933,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2024",1109.817,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2024",516.085,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2023",780,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2023",980.332,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2023",431.185,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2022",710,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: $ PPA 2021","2022",928.978,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Dólar estadounidense","2022",381.691,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
"Bulgaria","ADM - Legislación Laboral","Salario mínimo nominal mensual bruto","Divisa: Moneda local","2021",650,"Tipo de salario mínimo: Salario mínimo único nacional | Moneda: BGR - Lev (BGN)","Repositorio: Eurostat | Período de referencia de los datos: Julio"
